Model,Metric,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,dog,horse,motorbike,person,pottedplant,sheep,train,tvmonitor,Mean
Zero-shot,PCK@0.05,55.02068162801437,36.51616161616161,66.98678102524256,19.590795007461672,27.099616858237546,31.32604810445512,28.034224443798912,59.718105505605514,23.506616362653514,44.804183160159845,42.42324296074296,40.259922022422025,38.49098946321168,40.03203633972865,14.3448237763783,38.926338372431566,32.14271931037804,12.60727150178017,35.6071476494588
Zero-shot,PCK@0.10,69.62296082244931,56.97418692418692,84.9672767087297,34.38831230497897,44.50615763546797,42.275748218614495,40.74782044196938,68.9219918969919,34.41556766247168,65.77069753378287,62.37202982202982,61.595039682539685,55.3999344277122,61.05882920498305,29.244282399734836,57.982133476020785,49.80934684803732,24.803104931356376,51.90083811435525
Zero-shot,PCK@0.20,82.29171792023455,70.62364857364858,94.96050957589419,51.16577352688464,62.970945083014044,52.336258918283036,52.702631047045934,82.46979363229363,49.469953850758806,81.97662809420864,79.52153587153586,80.35262284012283,72.84408492741827,75.2681352835199,51.39031598718374,72.00814186994201,71.40465960406436,40.56135298548593,67.64205829564558
Fine-tuned,PCK@0.05,58.8276843051207,39.98333333333333,65.81181599343992,25.24538732872066,33.141716839992704,55.3041803906117,46.68465941072324,75.23112211862212,33.70885993951009,58.772797288119946,51.67930032930033,43.92718531468532,39.81131008908787,41.03955873186642,19.23383235738224,45.37624998534814,63.218099691313974,28.705213981586816,45.13359289886513
Fine-tuned,PCK@0.10,68.76671763298496,53.117554667554664,81.20612056509492,37.2371455704789,46.4280240831965,66.44609758112223,57.36135023369066,81.63198468198469,40.7395214864255,75.03469044366152,69.31460345210346,58.68229224479224,50.63949938949939,57.74474499859115,33.0116837918462,56.56968919437913,80.14309287126747,41.51288178744826,57.96892260319724
Fine-tuned,PCK@0.20,78.76788188591595,62.95886890886891,90.26317699394623,50.58483697372585,59.533661740558294,74.67707545164616,66.96409726994834,88.58737466237467,48.83863513507476,84.65271440322233,80.59695628445627,76.18682012432012,62.09752181974403,69.03577704346935,46.429860420579686,68.93974673940123,89.66355550680947,55.039652864797375,69.06081437629277
Fine-tuned + Soft-argmax,PCK@0.05,60.57144667923374,41.95604395604395,69.15416136569982,27.473997196219415,32.77367268746579,56.92540377608426,49.85166207905569,76.07733285233286,33.9670924191048,61.31239460103986,54.57250619750619,44.624225311725304,40.748428526206304,43.47250527250527,18.66175008286377,44.874701606075625,65.65641534391534,30.467216229499467,46.59150882447242
Fine-tuned + Soft-argmax,PCK@0.10,69.78064251647507,53.883272283272284,82.57465943363378,38.24085379640935,46.88806787082649,67.28133103601226,58.433596299287785,82.79133782883784,41.05047601177632,76.32576205265107,71.48899017649019,60.689232526732525,52.11148419481752,57.978451889990346,32.55510440835267,57.488560943446664,80.75165997289014,42.69439455855641,58.893932709323614
Fine-tuned + Soft-argmax,PCK@0.20,78.91373066156012,64.06712731712732,90.52570767314356,51.504884004884005,59.88852399197227,74.78062829976422,67.57746366124026,88.99478854478853,49.92088063295494,85.42397994068732,81.06982785732785,76.66638546638548,63.10100393433727,69.40239931009161,46.94835745589805,68.76924329706044,89.97778621290527,55.61534222842025,69.57524919358654
