keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.3787,272,0.1124,0.1153,37.87
14,0.4048,42,0.1025,0.1269,40.48
11,0.4673,306,0.1086,0.1325,46.73
12,0.4835,182,0.0982,0.1246,48.35
17,0.5621,306,0.0729,0.093,56.21000000000001
0,0.5667,30,0.0551,0.0402,56.67
16,0.5719,306,0.0753,0.0972,57.19
13,0.5769,156,0.088,0.1333,57.69
2,0.6344,506,0.0512,0.0589,63.44
18,0.6429,42,0.0839,0.1124,64.29
4,0.6758,182,0.0577,0.0725,67.58
3,0.7078,462,0.0472,0.0615,70.78
19,0.7143,42,0.0859,0.1555,71.43
5,0.725,240,0.0657,0.1121,72.5
8,0.7381,462,0.0648,0.1168,73.81
6,0.7429,210,0.0583,0.1078,74.29
7,0.7473,182,0.0487,0.0791,74.72999999999999
15,0.7637,182,0.0536,0.0918,76.37
1,0.8333,42,0.033,0.0372,83.33
9,0.8406,552,0.0375,0.0611,84.06
