keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
20,0.25,20,0.2114,0.2153,25.0
18,0.3636,132,0.1104,0.1097,36.36
12,0.3778,90,0.1383,0.1572,37.78
10,0.3889,90,0.1269,0.1399,38.89
11,0.4048,42,0.131,0.1464,40.48
17,0.4182,110,0.1175,0.1245,41.82
19,0.4333,30,0.1317,0.1375,43.33
3,0.4421,380,0.1232,0.1502,44.21
13,0.45,20,0.1057,0.1035,45.0
14,0.4889,90,0.1124,0.1381,48.89
15,0.5064,156,0.0683,0.0772,50.63999999999999
9,0.5091,110,0.1104,0.1391,50.91
2,0.5286,420,0.1167,0.1685,52.86
1,0.6364,132,0.0749,0.1032,63.63999999999999
4,0.6405,306,0.0755,0.1005,64.05
16,0.6923,156,0.0504,0.0745,69.23
0,0.7364,110,0.0431,0.0649,73.64
6,0.7632,380,0.0471,0.0811,76.32
5,0.7749,342,0.058,0.1019,77.49000000000001
7,0.8012,342,0.0405,0.0695,80.12
8,0.8041,342,0.0384,0.071,80.41
