category,pck@0.05,pck@0.10,pck@0.20
aeroplane,100.0,100.0,100.0
aeroplane,50.0,60.0,70.0
aeroplane,84.61538461538461,92.3076923076923,92.3076923076923
aeroplane,72.72727272727273,72.72727272727273,90.9090909090909
aeroplane,100.0,100.0,100.0
aeroplane,60.0,60.0,100.0
aeroplane,87.5,87.5,87.5
aeroplane,61.53846153846154,61.53846153846154,84.61538461538461
aeroplane,72.72727272727273,81.81818181818183,81.81818181818183
aeroplane,81.81818181818183,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,61.53846153846154,69.23076923076923,76.92307692307693
aeroplane,63.63636363636363,72.72727272727273,100.0
aeroplane,87.5,87.5,87.5
aeroplane,92.3076923076923,92.3076923076923,92.3076923076923
aeroplane,50.0,66.66666666666666,66.66666666666666
aeroplane,66.66666666666666,80.0,93.33333333333333
aeroplane,60.0,90.0,90.0
aeroplane,85.71428571428571,85.71428571428571,85.71428571428571
aeroplane,47.05882352941176,52.94117647058824,70.58823529411765
aeroplane,50.0,57.14285714285714,71.42857142857143
aeroplane,54.54545454545454,63.63636363636363,63.63636363636363
aeroplane,44.44444444444444,55.55555555555556,61.111111111111114
aeroplane,33.33333333333333,33.33333333333333,50.0
aeroplane,58.333333333333336,66.66666666666666,83.33333333333334
aeroplane,50.0,50.0,50.0
aeroplane,33.33333333333333,33.33333333333333,33.33333333333333
aeroplane,0.0,0.0,0.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,33.33333333333333,66.66666666666666,100.0
aeroplane,66.66666666666666,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,80.0,80.0,80.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,80.0,80.0,100.0
aeroplane,50.0,50.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,66.66666666666666,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,66.66666666666666,100.0,100.0
aeroplane,40.0,60.0,60.0
aeroplane,0.0,0.0,100.0
aeroplane,42.857142857142854,42.857142857142854,57.14285714285714
aeroplane,55.55555555555556,66.66666666666666,88.88888888888889
aeroplane,100.0,100.0,100.0
aeroplane,50.0,50.0,75.0
aeroplane,60.0,60.0,60.0
aeroplane,50.0,50.0,62.5
aeroplane,50.0,50.0,50.0
aeroplane,28.57142857142857,71.42857142857143,85.71428571428571
aeroplane,57.14285714285714,57.14285714285714,57.14285714285714
aeroplane,60.0,60.0,80.0
aeroplane,42.857142857142854,57.14285714285714,57.14285714285714
aeroplane,87.5,87.5,100.0
aeroplane,54.54545454545454,54.54545454545454,81.81818181818183
aeroplane,83.33333333333334,83.33333333333334,83.33333333333334
aeroplane,66.66666666666666,100.0,100.0
aeroplane,10.0,20.0,30.0
aeroplane,54.54545454545454,72.72727272727273,81.81818181818183
aeroplane,62.5,75.0,87.5
aeroplane,18.181818181818183,27.27272727272727,45.45454545454545
aeroplane,100.0,100.0,100.0
aeroplane,42.857142857142854,57.14285714285714,71.42857142857143
aeroplane,38.46153846153847,69.23076923076923,69.23076923076923
aeroplane,100.0,100.0,100.0
aeroplane,42.857142857142854,42.857142857142854,42.857142857142854
aeroplane,55.55555555555556,66.66666666666666,88.88888888888889
aeroplane,66.66666666666666,83.33333333333334,83.33333333333334
aeroplane,85.71428571428571,85.71428571428571,85.71428571428571
aeroplane,77.77777777777779,88.88888888888889,88.88888888888889
aeroplane,75.0,81.25,87.5
aeroplane,69.23076923076923,69.23076923076923,84.61538461538461
aeroplane,91.66666666666666,91.66666666666666,100.0
aeroplane,100.0,100.0,100.0
aeroplane,72.22222222222221,72.22222222222221,88.88888888888889
aeroplane,69.23076923076923,76.92307692307693,100.0
aeroplane,60.0,80.0,80.0
aeroplane,76.92307692307693,84.61538461538461,92.3076923076923
aeroplane,57.14285714285714,57.14285714285714,71.42857142857143
aeroplane,92.85714285714286,92.85714285714286,92.85714285714286
aeroplane,100.0,100.0,100.0
aeroplane,90.0,90.0,90.0
aeroplane,69.23076923076923,69.23076923076923,84.61538461538461
aeroplane,45.45454545454545,45.45454545454545,63.63636363636363
aeroplane,28.57142857142857,28.57142857142857,42.857142857142854
aeroplane,73.33333333333333,73.33333333333333,93.33333333333333
aeroplane,100.0,100.0,100.0
aeroplane,58.333333333333336,66.66666666666666,83.33333333333334
aeroplane,40.0,60.0,60.0
aeroplane,54.54545454545454,63.63636363636363,81.81818181818183
aeroplane,33.33333333333333,33.33333333333333,66.66666666666666
aeroplane,55.55555555555556,66.66666666666666,66.66666666666666
aeroplane,66.66666666666666,66.66666666666666,77.77777777777779
aeroplane,83.33333333333334,100.0,100.0
aeroplane,57.14285714285714,57.14285714285714,85.71428571428571
aeroplane,88.88888888888889,88.88888888888889,88.88888888888889
aeroplane,37.5,50.0,50.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,75.0,75.0,100.0
aeroplane,66.66666666666666,77.77777777777779,77.77777777777779
aeroplane,100.0,100.0,100.0
aeroplane,88.88888888888889,88.88888888888889,88.88888888888889
aeroplane,91.66666666666666,91.66666666666666,91.66666666666666
aeroplane,50.0,50.0,75.0
aeroplane,53.84615384615385,69.23076923076923,92.3076923076923
aeroplane,100.0,100.0,100.0
aeroplane,83.33333333333334,83.33333333333334,83.33333333333334
aeroplane,63.63636363636363,72.72727272727273,81.81818181818183
aeroplane,76.92307692307693,76.92307692307693,84.61538461538461
aeroplane,50.0,70.0,70.0
aeroplane,76.92307692307693,84.61538461538461,84.61538461538461
aeroplane,100.0,100.0,100.0
aeroplane,57.14285714285714,71.42857142857143,85.71428571428571
aeroplane,66.66666666666666,100.0,100.0
aeroplane,83.33333333333334,83.33333333333334,100.0
aeroplane,100.0,100.0,100.0
aeroplane,0.0,0.0,0.0
aeroplane,50.0,50.0,50.0
aeroplane,66.66666666666666,66.66666666666666,66.66666666666666
aeroplane,75.0,75.0,75.0
aeroplane,66.66666666666666,66.66666666666666,83.33333333333334
aeroplane,25.0,25.0,50.0
aeroplane,57.14285714285714,71.42857142857143,85.71428571428571
aeroplane,71.42857142857143,71.42857142857143,71.42857142857143
aeroplane,100.0,100.0,100.0
aeroplane,50.0,66.66666666666666,66.66666666666666
aeroplane,66.66666666666666,66.66666666666666,100.0
aeroplane,33.33333333333333,33.33333333333333,66.66666666666666
aeroplane,85.71428571428571,85.71428571428571,85.71428571428571
aeroplane,83.33333333333334,83.33333333333334,83.33333333333334
aeroplane,66.66666666666666,66.66666666666666,83.33333333333334
aeroplane,50.0,50.0,66.66666666666666
aeroplane,71.42857142857143,71.42857142857143,71.42857142857143
aeroplane,40.0,60.0,80.0
aeroplane,66.66666666666666,66.66666666666666,66.66666666666666
aeroplane,50.0,50.0,75.0
