category,pck@0.05,pck@0.10,pck@0.20
aeroplane,100.0,100.0,100.0
aeroplane,30.0,30.0,50.0
aeroplane,76.92307692307693,84.61538461538461,84.61538461538461
aeroplane,72.72727272727273,72.72727272727273,90.9090909090909
aeroplane,83.33333333333334,100.0,100.0
aeroplane,60.0,60.0,80.0
aeroplane,87.5,87.5,87.5
aeroplane,53.84615384615385,69.23076923076923,84.61538461538461
aeroplane,54.54545454545454,81.81818181818183,81.81818181818183
aeroplane,90.9090909090909,100.0,100.0
aeroplane,66.66666666666666,66.66666666666666,100.0
aeroplane,61.53846153846154,61.53846153846154,76.92307692307693
aeroplane,63.63636363636363,63.63636363636363,90.9090909090909
aeroplane,75.0,75.0,87.5
aeroplane,84.61538461538461,84.61538461538461,100.0
aeroplane,50.0,66.66666666666666,66.66666666666666
aeroplane,66.66666666666666,80.0,93.33333333333333
aeroplane,60.0,80.0,80.0
aeroplane,85.71428571428571,85.71428571428571,85.71428571428571
aeroplane,47.05882352941176,52.94117647058824,70.58823529411765
aeroplane,50.0,57.14285714285714,64.28571428571429
aeroplane,45.45454545454545,63.63636363636363,63.63636363636363
aeroplane,50.0,55.55555555555556,66.66666666666666
aeroplane,33.33333333333333,33.33333333333333,50.0
aeroplane,58.333333333333336,75.0,75.0
aeroplane,50.0,50.0,50.0
aeroplane,66.66666666666666,66.66666666666666,66.66666666666666
aeroplane,0.0,0.0,0.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,33.33333333333333,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,80.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,80.0,80.0,100.0
aeroplane,75.0,75.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,66.66666666666666,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,100.0,100.0,100.0
aeroplane,66.66666666666666,100.0,100.0
aeroplane,40.0,70.0,70.0
aeroplane,0.0,0.0,100.0
aeroplane,57.14285714285714,57.14285714285714,71.42857142857143
aeroplane,55.55555555555556,55.55555555555556,88.88888888888889
aeroplane,100.0,100.0,100.0
aeroplane,50.0,50.0,100.0
aeroplane,60.0,60.0,80.0
aeroplane,50.0,50.0,62.5
aeroplane,33.33333333333333,50.0,50.0
aeroplane,42.857142857142854,71.42857142857143,85.71428571428571
aeroplane,71.42857142857143,71.42857142857143,71.42857142857143
aeroplane,40.0,60.0,80.0
aeroplane,57.14285714285714,71.42857142857143,71.42857142857143
aeroplane,87.5,100.0,100.0
