threshold,best_K,best_temperature,best_pck_mean,best_pck_median,best_pck_std
0.05,5,0.5,49.1411390240207,50.0,29.389118562439712
0.1,5,0.5,60.501663680235865,66.66666666666666,29.68413526969125
0.2,9,0.5,71.25367090263725,78.57142857142857,28.244671425345043
